,noExperience,between1And3,between3And6,moreThan6,mean
машинист,68425,120000,180000,150000,150000.0
программист,64375,110000,180000,250000,145000.0
директор,60000,100000,152500,200000,126250.0
сварщик,75000,100000,150000,295000,125000.0
инженер,75000,100000,150000,160000,125000.0
нефть,55000,95000,150000,146600,122500.0
врач,70000,100000,140000,150000,120000.0
чпу,70000,100000,135000,120000,117500.0
финансист,75000,100000,115000,120000,107500.0
токарь,66000,93000,120000,140000,106500.0
менеджер,60000,80000,120000,120000,100000.0
повар,60000,80000,110000,80000,95000.0
водитель,90000,88000,100000,100000,94000.0
электрик,65000,91500,90000,95000,90750.0
слесарь,70000,90000,90000,90000,90000.0
юрист,50000,70000,100000,110000,85000.0
тракторист,71200,80000,88000,89000,84000.0
курьер,90000,86200,75000,77500,80600.0
бухгалтер,50000,69000,92000,120000,80500.0
комплектовщик,75000,80000,75000,60000,77500.0
сантехник,60000,70000,80000,74750,75000.0
медсестра,55000,66000,75000,75000,70500.0
разнорабочий,70000,75000,65000,105600,70000.0
матрос,70000,86100,45050,100000,65575.0
охранник,36000,45000,80000,160000,62500.0
продавец,50000,60000,64000,70000,62000.0
дворник,40000,50000,70000,100000,60000.0
психолог,42500,50000,70000,100000,60000.0
учитель,40000,50000,70000,50000,60000.0
уборщица,40000,50000,70000,100000,60000.0
санитарка,40000,50000,60000,23000,55000.0
