,noExperience,between1And3,between3And6,moreThan6,mean
машинист,73000,150000,170000,180000,160000.0
токарь,65000,168000,148000,200000,158000.0
программист,60000,100000,200000,250000,150000.0
курьер,90000,170600,80000,107250,125300.0
сварщик,80000,110000,140000,150000,125000.0
директор,55000,100000,150000,200000,125000.0
инженер,70000,100000,140000,150000,120000.0
чпу,65000,100000,120000,134850,110000.0
врач,65000,90000,110000,130000,100000.0
менеджер,60000,80000,118000,120000,99000.0
нефть,59000,89000,102380,194315,95690.0
слесарь,70000,90000,100000,78000,95000.0
водитель,105000,90000,90000,91000,90000.0
повар,65000,80000,90000,132000,85000.0
электрик,60000,80000,80000,80000,80000.0
юрист,45000,65000,81500,100000,73250.0
бухгалтер,50000,62900,80000,100000,71450.0
охранник,50000,50000,90000,115000,70000.0
комплектовщик,75000,70000,70000,70000,70000.0
тракторист,60000,70000,70000,80000,70000.0
финансист,50000,60000,80000,125000,70000.0
сантехник,50000,70000,65000,70000,67500.0
разнорабочий,80000,70000,60000,70000,65000.0
медсестра,50000,60000,70000,62111,65000.0
продавец,56000,60000,53110,50000,56555.0
матрос,45000,54000,57600,,55800.0
учитель,35000,45000,60000,70000,52500.0
психолог,33496,44648,60000,60000,52324.0
дворник,36000,45000,55000,50000,50000.0
уборщица,36000,45000,55000,50000,50000.0
санитарка,33500,47000,50000,55000,48500.0
