,noExperience,between1And3,between3And6,moreThan6,mean
машинист,75000,150000,180000,140000,165000.0
программист,60000,100000,200000,240000,150000.0
токарь,60000,150000,150000,90000,150000.0
директор,60000,100000,170000,200000,135000.0
инженер,75000,110000,150000,150000,130000.0
сварщик,70000,100000,140000,100000,120000.0
чпу,70000,100000,130000,150000,115000.0
врач,61500,100000,117000,100000,108500.0
менеджер,60000,90000,120000,100000,105000.0
слесарь,70000,90000,99000,90000,94500.0
нефть,60000,80000,106358,77500,93179.0
повар,60000,85000,100000,130000,92500.0
финансист,60000,70000,100000,100000,85000.0
водитель,90000,80000,90000,90000,85000.0
электрик,60000,80000,87000,83825,83500.0
бухгалтер,50000,65000,100000,100000,82500.0
юрист,46950,70000,90000,100000,80000.0
курьер,100000,70000,79650,47500,74825.0
комплектовщик,73500,75000,70000,85000,72500.0
разнорабочий,75000,70000,74000,33000,72000.0
сантехник,52234,70000,70000,77375,70000.0
охранник,45000,50000,90000,110000,70000.0
тракторист,70000,70000,67200,60000,68600.0
медсестра,55000,65000,65000,70000,65000.0
продавец,50000,62000,60000,50000,61000.0
учитель,35000,50000,70000,50000,60000.0
психолог,40000,43000,70000,55000,56500.0
матрос,50000,52000,60000,,56000.0
дворник,35000,48000,60000,55000,54000.0
уборщица,35000,48000,60000,55000,54000.0
санитарка,35000,50000,52500,61200,51250.0
