,noExperience,between1And3,between3And6,moreThan6,mean
токарь,63100,168000,170000,150000,169000.0
машинист,75000,156000,180000,140000,168000.0
программист,58000,100000,180000,250000,140000.0
сварщик,72000,115000,145000,170000,130000.0
директор,60000,100000,150000,199000,125000.0
чпу,70000,100000,150000,170000,125000.0
курьер,115000,170600,73400,126600,122000.0
инженер,70000,100000,140000,150000,120000.0
нефть,59000,100500,106358,128630,103429.0
врач,70000,90000,115104,120000,102552.0
менеджер,65000,85000,120000,100000,102500.0
слесарь,70000,90000,100000,78000,95000.0
водитель,113000,90000,100000,90000,95000.0
повар,70000,82500,100000,130000,91250.0
матрос,56857,54500,122500,,88500.0
бухгалтер,50000,65000,90000,100000,77500.0
электрик,60000,75000,80000,80000,77500.0
охранник,49500,50000,97500,138000,73750.0
юрист,45000,65000,80000,100000,72500.0
финансист,42500,67500,75000,75000,71250.0
сантехник,50000,70000,72000,73575,71000.0
комплектовщик,80000,70000,70000,70000,70000.0
разнорабочий,92000,70000,70000,65000,70000.0
тракторист,60000,69000,60000,100000,64500.0
медсестра,50000,60000,65000,65000,62500.0
продавец,55022,65000,58800,57525,61900.0
уборщица,40000,47925,66000,85000,56962.5
дворник,40000,47725,66000,85000,56862.5
учитель,35000,50000,56500,70000,53250.0
психолог,32159,45000,60000,65000,52500.0
санитарка,35000,50000,50000,,50000.0
