,noExperience,between1And3,between3And6,moreThan6,mean
программист,60000,100000,200000,250000,150000.0
машинист,70000,110000,171000,145000,140500.0
токарь,63500,132500,145000,157500,138750.0
директор,60000,100000,160000,200000,130000.0
сварщик,80000,100000,145000,170000,122500.0
инженер,78000,100000,140000,150000,120000.0
нефть,64000,109557,119041,100000,114299.0
врач,70000,100000,120000,120000,110000.0
чпу,70000,100000,120000,170000,110000.0
менеджер,70000,90000,122500,110000,106250.0
повар,60000,85000,100000,100000,92500.0
водитель,81000,85000,90000,90000,87500.0
бухгалтер,50000,70000,100000,120000,85000.0
слесарь,70000,80000,90000,81650,85000.0
электрик,68000,80000,86200,83825,83100.0
юрист,50000,70000,90000,100000,80000.0
финансист,50000,75000,80000,90000,77500.0
комплектовщик,75000,75000,70000,,72500.0
тракторист,75000,69687,73000,110000,71343.5
медсестра,55000,70000,70000,65000,70000.0
курьер,95000,66000,73000,61300,69500.0
сантехник,50500,66000,70000,70000,68000.0
разнорабочий,67250,70000,60000,62500,65000.0
продавец,52000,65000,60000,46034,62500.0
охранник,35000,45000,78800,112500,61900.0
учитель,40000,52000,70000,60000,61000.0
психолог,36700,50000,60000,79725,55000.0
дворник,38000,50000,60000,135000,55000.0
уборщица,38000,48000,60000,135000,54000.0
матрос,60000,57000,49150,,53075.0
санитарка,37000,47000,40000,70000,43500.0
