,noExperience,between1And3,between3And6,moreThan6,mean
токарь,60000,158000,140000,100000,149000.0
машинист,65000,125000,168000,150000,146500.0
программист,50000,91500,180000,240000,135750.0
директор,50000,90000,150000,180000,120000.0
инженер,70000,100000,130000,130000,115000.0
сварщик,63000,100000,120000,120000,110000.0
чпу,60000,100000,100850,107000,100425.0
врач,65000,85000,100000,100000,92500.0
повар,52000,77000,100000,120000,88500.0
менеджер,50000,75000,100000,100000,87500.0
нефть,48000,73450,95335,115738,84392.5
слесарь,66425,87500,80000,80000,83750.0
водитель,80000,80000,80000,80000,80000.0
финансист,50000,62750,80000,90000,71375.0
бухгалтер,45488,60000,80000,100000,70000.0
юрист,40000,60000,80000,98000,70000.0
электрик,62000,70000,70000,70000,70000.0
тракторист,60000,75500,60000,65000,67750.0
матрос,35000,45500,80000,,62750.0
курьер,80000,60000,60500,50000,60250.0
сантехник,55000,60000,60000,60000,60000.0
разнорабочий,80000,60000,60000,55000,60000.0
комплектовщик,70000,60000,60000,75900,60000.0
охранник,45000,48000,70000,108000,59000.0
медсестра,45000,50000,60000,50000,55000.0
продавец,50000,53000,50000,40000,51500.0
дворник,30000,40000,57500,65000,48750.0
уборщица,30000,40000,57500,65000,48750.0
учитель,30788,40000,55000,70000,47500.0
психолог,32000,40000,55000,55000,47500.0
санитарка,30000,40000,41000,,40500.0
