,noExperience,between1And3,between3And6,moreThan6,mean
машинист,73000,150000,180000,150000,165000.0
программист,59900,100000,200000,250000,150000.0
токарь,60000,160000,120000,150000,140000.0
директор,60000,100000,170000,200000,135000.0
инженер,75000,100500,143500,150000,122000.0
сварщик,70000,100000,132000,120000,116000.0
чпу,70000,100000,130000,165000,115000.0
нефть,60000,100000,106358,280000,103179.0
менеджер,60000,85000,120000,110000,102500.0
врач,60000,90000,110000,120000,100000.0
повар,65000,85000,100000,125000,92500.0
слесарь,70000,90000,92000,90000,91000.0
водитель,90000,85000,90000,100000,87500.0
юрист,45000,70000,90000,100000,80000.0
электрик,60000,80000,80000,80000,80000.0
бухгалтер,50000,65000,85000,108759,75000.0
комплектовщик,75000,75000,72000,80000,73500.0
курьер,95430,75000,71800,100000,73400.0
финансист,50000,65000,80000,100000,72500.0
сантехник,50000,70000,70000,80000,70000.0
матрос,59857,60000,80000,,70000.0
тракторист,58600,65000,70000,75000,67500.0
разнорабочий,80000,68950,60000,75000,64475.0
охранник,50000,52750,75000,150000,63875.0
медсестра,50000,60000,65000,70000,62500.0
продавец,54500,60000,60000,50000,60000.0
дворник,37800,50000,61500,40000,55750.0
психолог,35000,45000,66500,105000,55750.0
уборщица,37800,50000,61500,40000,55750.0
учитель,35904,45000,60000,55000,52500.0
санитарка,35000,50000,45000,46500,47500.0
