,noExperience,between1And3,between3And6,moreThan6,mean
машинист,70000,130000,180000,150000,155000.0
программист,60000,108000,180000,240000,144000.0
чпу,70000,100000,155000,150000,127500.0
инженер,75000,100000,150000,150000,125000.0
директор,60000,100000,150000,200000,125000.0
токарь,62779,90000,140000,110000,115000.0
сварщик,80000,100000,130000,120000,115000.0
врач,70000,100000,120000,150000,110000.0
менеджер,65000,90000,125000,130000,107500.0
курьер,95000,110000,88250,69000,99125.0
нефть,68900,99000,85000,,92000.0
повар,60000,80000,100000,120000,90000.0
финансист,40000,80000,100000,100000,90000.0
матрос,65695,70000,106650,,88325.0
водитель,100000,85000,90000,100000,87500.0
слесарь,72917,90000,81200,81650,85600.0
электрик,71600,80000,90000,81650,85000.0
бухгалтер,50000,70000,100000,110000,85000.0
юрист,50000,72000,94080,114000,83040.0
тракторист,70000,75000,90000,120000,82500.0
комплектовщик,75000,75000,80000,90000,77500.0
охранник,40000,48500,97500,150000,73000.0
сантехник,60000,70000,75000,70000,72500.0
разнорабочий,70000,70000,72000,56500,71000.0
медсестра,55000,70000,70000,70000,70000.0
дворник,40000,50000,70000,150000,60000.0
продавец,55000,60000,60000,67500,60000.0
уборщица,40000,50000,70000,150000,60000.0
учитель,40000,50000,60000,50000,55000.0
психолог,40000,50000,60000,80000,55000.0
санитарка,38000,50000,36000,,43000.0
