Technical Support (SL2),Production Application Support Consultant,Singapore/ SG,
Software/System Architecture,AS400,Remote India/ IN,
Murex FO,Senior Murex FO/PCG System Analyst,Singapore/ SG,
Murex FO,Murex FO/PCG System Analyst,Singapore/ SG,
Murex FO,Murex FO System Analyst/Functional Lead,Singapore/ SG,
BigData Development,Data Engineer Academy,Singapore/ SG,
Murex FO,Murex FO Consultant,Mumbai/ IN,
Murex ERM,Murex MLC Functional Consultant,Mumbai/ IN,
SQL (MySQL/ T-SQL/ Teradata etc.),Microsoft SQL Developer,Sydney/ AU,
Murex ERM,Murex Market Risk Consultant,Singapore/ SG,
Other Vendor specific (Quantum/ Coremont etc.),Neoxam Consultant,Singapore/ SG,
Murex ECM,Senior Murex Support Consultant,Remote India/ IN,
Murex Datamart,Murex Datamart Developer,Singapore/ SG,
Business Analysis,Product Control - Business Analyst,Bengaluru/ IN,
Other Packaged Software,Senior Developer (NetGuardians (IFM)),Kuala Lumpur/ MY,
C#/VB.NET,Software Developer - C#/.NET,Kuala Lumpur/ MY,
Murex FO,Murex System Analyst- Front Office/ Product Control Group,Singapore/ SG,
Java,Senior Java Developer ( with BPM experience),Bucharest/ RO,
Java,Senior Java Developer,Bucharest/ RO,
Front-end Angular,Senior Angular Developer,Remote Romania/ RO,
Java,Senior Java Developer,Bucharest/ RO,
Java,Senior Java Developer,Bucharest/ RO,
Android,Android Video Developer,Bengaluru/ IN,
DevOps,Senior DevOps Engineer,Bucharest/ RO,
Automated Testing Java,Senior QA Automation Engineer,Bucharest/ RO,
Murex Others,Murex Delivery Lead/SME,Bengaluru/ IN,
Python,Risk Engine Engineer (Java and Python experience),Remote India/ IN,
Java,Software Developer - Java and Golang,Remote Romania/ RO,
DevOps,Senior DevOps,Bengaluru/ IN,
Java,Java Developer,Bengaluru/ IN,
Automated Testing Others,Latency Testing QA Engineer,Remote India/ IN,
BPM Appian,Senior Appian Developer,Bengaluru/ IN,
ETL (Informatica/ Ab Initio etc.),Senior SSIS Developer,Gurgaon/ IN,
Murex BO,Murex Connectivity 2.0 Developer,Bengaluru/ IN,
Automated Testing Java,Senior QA Automation Engineer,Bucharest/ RO,
Murex MxML,Murex MxML Developer,Bengaluru/ IN,
Automated Testing Others,Senior Automation QA with Tosca,Remote India/ IN,
DevOps,Senior DevOps Engineer,Bucharest/ RO,
Murex ECM,Murex MxML Support Consultant,Hyderabad/ IN/ IN,
Java,Senior Java Developer,Bucharest/ RO,
C Embedded,Senior Embedded C Software Engineer,Ho Chi Minh City/ VN,
C Embedded,Power Management Firmware Engineer,Bengaluru/ IN,
Automated Testing C#,Senior QA Automation Engineer (C#),Bengaluru/ IN,
Murex MxML,Murex MxML Developer,Bengaluru/ IN,
Moody’s,Business Analyst - Moody's Credit Risk,Chennai/ IN,
C/C++,Linux/Device Drivers Developer,Bengaluru/ IN,
C/C++,Senior C++ Developer,Gothenburg/ SE,
Technical Support (SL2),L2 Support Engineer (Epic),Remote United States/ US,
Technical Support (SL2),L2 Support Engineer (Epic),Anywhere/ WW,
C/C++,Architect and Senior C/C++ Engineer_onsite Eindhoven,Eindhoven/ NL,
PMA,Senior Project Manager Officer,Bucharest/ RO,
Business Analysis,IT Security Business Analyst,Wroclaw/ PL,
Business Analysis,IT Security Business Analyst,Krakow/ PL,
Automated Testing Python,Regular Test Automation Engineer,Sofia/ BG,
JavaScript,AI Frontend Developer,Remote Romania/ RO,
Java,Regular Java Developer with GCP/ Sonar,Remote Mexico/ MX,
Java,Regular Java Developer with GCP/ Sonar,Remote India/ IN,
Functional/System Analysis,Senior Business/Functional Analyst with Integration and Data Analysis experience,Kyiv/ UA,
Other Scripting Languages,Senior Application Manager,Bucharest/ RO,
DevOps,Senior Azure DevOps Engineer,Remote Ukraine/ UA,
DevOps,Senior Azure DevOps Engineer,Remote Poland/ PL,
DevOps,Senior Azure DevOps Engineer,Remote Bulgaria/ BG,
C/C++ AUTOSAR,Proxy Function Owner,Garching/ DE,
Other Scripting Languages,Senior Software Engineer with UC4,Bucharest/ RO,
DevOps,Azure Senior DevOps Engineer,Bucharest/ RO,
DevOps,Senior DevOps Infrastructure Engineer,Remote Romania/ RO,
DevOps,Senior DevOps Engineer,Remote Ukraine/ UA,
Go,Senior/Lead Golang Developer,Remote Ukraine/ UA,
Automated Testing Others,Junior QA Automation,Remote Serbia/ RS,
Automated Testing Others,Junior QA Automation,Remote Romania/ RO,
Automated Testing Others,Junior QA Automation,Remote Poland/ PL,
Other Packaged Software,Senior SAP HANA Cloud Engineer / Developer,Eindhoven/ NL,
Other Packaged Software,Senior SAP BTP Build Engineer,Eindhoven/ NL,
