Murex,Murex Market Risk Consultant,Singapore/ SG,
Murex,Murex Datamart and Reports Developer,Singapore/ SG,
Technical Project Management,Project Manager,Kuala Lumpur/ MY,
Software/System Architecture,Solution Architect,Kuala Lumpur/ MY,
Calypso,Calypso QA Lead,Sydney/ AU,
Data Architecture,Azure Data Platform Engineer/ Architect,Remote Mexico/ MX,
Delivery Project Management,Regular Technical Project Manager,Remote Mexico/ MX,
3D Artist,3D Unreal designer,Shanghai/ CN,
SQL (PL/SQL - Oracle),Senior Kafka Developer,Remote Romania/ RO,
SQL (PL/SQL - Oracle),Senior Kafka Developer,Remote Poland/ PL,
Delivery Project Management,Technology Delivery Manager,Singapore/ SG,
Murex,Murex Market Risk Developer,Singapore/ SG,
BPM Pega,Pega Developer,Singapore/ SG,
Technical Support (SL1),Senior Application Support,Gurgaon/ IN,
Technical Support (SL1),Senior Application Support,Bangalore/ IN,
Delivery Project Management,Senior Project Manager - Data Centre Migration,Kuala Lumpur/ MY,
Manual Testing,Senior QA Analyst - Retail Banking,Pune/ IN,
Automated Testing Others,API Automation Engineer,Bangalore/ IN,
Murex,Murex Production Support Consultant,Bangalore/ IN,
Python,Senior Python Data Engineer,Bangalore/ IN,
BPM Others,Senior System Architect - WebMethods,Chennai/ IN,
BPM Pega,Pega System Architect,Bangalore/ IN,
Temenos,Temenos Transact L3 Developer,Chennai/ IN,
Business Analysis,Senior Business Analyst (MIS/Financial Reporting),Bucharest/ RO,
Murex,Market Risk Developer,Singapore/ SG,
Front-end Angular,Senior Angular Developer,Remote Poland/ PL,
Automated Testing C#,Senior QA Automation (C#/ Desktop project),Remote Mexico/ MX,
C#/VB.NET,Senior Software Developer (C#/ WPF),Remote Mexico/ MX,
Delivery Project Management,Engineering Program Manager,Shenzhen/ CN,
BI Engineering,Senior Power BI Developer,Remote India/ IN,
Data Modeling,Data Modeler,Gurgaon/ IN,
Manual Testing,Senior Vehicle Test Engineer,Stuttgart/ DE,
Automated Testing Others,Grafana QA Automation,Remote Mexico/ MX,
Software/System Architecture,Enterprise Architect,Remote Romania/ RO,
Delivery Project Management,Senior Presales Manager / Bid Manager,Stuttgart/ DE,
Delivery Project Management,Senior Presales Manager / Bid Manager,Muenchen/ DE,
Automated Testing Others,Senior JavaScript QA Engineer,Remote Romania/ RO,
Java,Java Developer (with Python knowledge),Remote Romania/ RO,
Android,Automotive Android Framework Engineer,Remote Ukraine/ UA,
Android,Senior Android Framework Developer,Pune/ IN,
Java,Junior Java Developer,Miami/ US,
Python,Junior Python Developer,Miami/ US,
Python,Python Developer,Bucharest/ RO,
Front-end Angular,Senior Angular Developer,Remote Serbia/ RS,
Front-end Angular,Senior Angular Developer,Remote Mexico/ MX,
Automated Testing Python,Regular Test Engineer,Sofia/ BG,
Data Modeling,Data Review / Annotation Specialist Internship,Turin/ IT,
C#/VB.NET,Senior C# Developer,Sofia/ BG,
Automated Testing Java,QA Automation Engineer,Bucharest/ RO,
Automated Testing Java,Senior QA Automation Engineer,Remote Romania/ RO,
Automated Testing Java,QA Automation Engineer,Bucharest/ RO,
Automated Testing Java,Senior QA Automation Engineer,Bucharest/ RO,
Automated Testing Python,QA Automation Tester,Bangalore/ IN,
Calypso,Senior Calypso QA,Bangalore/ IN,
Software - Other,Customer Reliability Engineer (CRE),Remote United States/ US,
Automated Testing Python,Senior QA Automation Python (with Robot Framework),Remote Romania/ RO,
Scrum Master,Senior Scrum Master,Eindhoven/ NL,
Automated Testing Python,Senior Infra Test Engineer,Eindhoven/ NL,
Service Delivery Management,Senior Service Design Manager,Remote India/ IN,
Front-end Angular,Senior Angular Developer with DevExtreme/AG,New York City/ US,
Scrum Master,Senior Scrum Master,Bucharest/ RO,
Other Scripting Languages,Senior Web Developer,Gdansk/ PL,
BPM Pega,Pega Lead System Architect,Bangalore/ IN,
Automated Testing C#,Senior QA Automation Engineer (.Net),Remote Turkey/ TR,
Automated Testing C#,Senior QA Automation Engineer (.Net),Remote Serbia/ RS,
Automated Testing C#,Senior QA Automation Engineer (.Net),Remote Romania/ RO,
Automated Testing C#,Senior QA Automation Engineer (.Net),Remote Poland/ PL,
Automated Testing C#,Senior QA Automation Engineer (.Net),Remote Bulgaria/ BG,
Murex,Back Office/MxML Consultant,Singapore/ SG,
DevOps,AWS Cloud DevOps Engineer,Bangalore/ IN,
Solution/Integration Architecture,Senior Enterprise Architect,Riyadh/ SA,
Automated Testing Java,Functional and Automation tester (selenium+cucumber+java),Tianjin/ CN,
Python,Senior Python engineer (with DevOps experience),Remote Mexico/ MX,
C Embedded,CyberSecurity Developer,Remote Romania/ RO,
Automated Testing Java,Senior Test Automation Engineer with Cypress and Java (onsite Eindhoven),Eindhoven/ NL,
Python,FullStack Python Tech Lead,Remote Romania/ RO,
Product Owner,Romania IPO Product Owner,Remote Romania/ RO,
Java,Senior Java Developer,Remote Germany/ DE,
DevOps,Regular/Senior DevOps Engineer,Remote Mexico/ MX,
Android,Senior Android Framework Engineer,Remote Poland/ PL,
System Administration,Senior System Administrator,Remote India/ IN,
Database Administration,Senior DBA,Remote India/ IN,
Python,Python engineer with 3GPP Cellular,Muenchen/ DE,
Solution/Integration Architecture,5G & Cloud Pre-Sales Solutions Architect (Solutions Team),Remote United Kingdom/ GB,
Solution/Integration Architecture,5G & Cloud Pre-Sales Solutions Architect (Solutions Team),Remote Canada/ CA,
UX Architecture,UX Architect,Remote Romania/ RO,
IT Infrastructure Engineering,IT System Administrator/IT Network Administrator,Dresden/ DE,
Functional/System Analysis,System Analyst (Bwise/ Net Guardian (IFM)),Kuala Lumpur/ MY,
Murex,Murex Collateral QA,Bangalore/ IN,
Automated Testing Java,QA Automation Regular (Experience Mobile Testing),Bucharest/ RO,
Python,Senior Python and C Developer on Linux,Bucharest/ RO,
C/C++,Senior C/C++ Developer,Bucharest/ RO,
Ion,ION Anvil Implementation,Bangalore/ IN,
Murex,Murex BAU Support,Bangalore/ IN,
Murex,MxML Developer,Pune/ IN,
Murex,MxML Developer,Bangalore/ IN,
Business Analysis,IT Business Systems Analyst - DWH,Remote Romania/ RO,
Business Analysis,Senior Business Analyst (DWH),Bucharest/ RO,
Business Analysis,Senior Business Analyst (Lending),Bucharest/ RO,
Murex,Murex Front Office Support,Hyderabad/ IN/ IN,
Murex,Murex L2 Support,Hyderabad/ IN/ IN,
Murex,Murex MxML Consultant,Remote India/ IN,
Murex,Murex MxML Consultant,Bangalore/ IN,
DevOps,DevOps Engineer,Bucharest/ RO,
C/C++,Senior C++ Developer with Networking (ASN.1 nice to have),Remote Romania/ RO,
Calypso,Calypso Developer,Remote India/ IN,
Calypso,Calypso Developer,Bangalore/ IN,
Fenergo,Business Analyst,Bangalore/ IN,
ETL (Informatica/ Ab Initio etc.),AbInitio Developer,Bangalore/ IN,
DevOps,Senior Data DevOps Engineer,Bucharest/ RO,
SQL (PL/SQL - Oracle),Senior Oracle Developer,Bucharest/ RO,
SQL (PL/SQL - Oracle),Senior Oracle Developer,Bucharest/ RO,
DevOps,Azure DevOps Engineer,Bucharest/ RO,
BPM Appian,Senior Appian Developer,Bangalore/ IN,
Data Modeling,Oracle Data Modeler,Bucharest/ RO,
SQL (PL/SQL - Oracle),Senior Oracle Developer with DWH,Bucharest/ RO,
Murex,Murex Front Office BA,Bangalore/ IN,
C#/VB.NET,.NET Engineer,Gurgaon/ IN,
SQL (PL/SQL - Oracle),Oracle Developer,Bucharest/ RO,
Technical Project Management,Technical Project Manager,Remote Mexico/ MX,
Help Desk Support,Junior Tech Support Specialist,San Antonio/ US/ US,
Business Analysis,Tech BA with Collateral Management Expertise,Remote United States/ US,
Python,Senior Python Developer,Remote China/ CN,
Python,Senior Python Developer,Remote Mexico/ MX,
Murex,Murex Senior Datamart Developer,Remote India/ IN,
Murex,Murex Senior Datamart Developer,Bangalore/ IN,
Test Management,Test Manager,Remote India/ IN,
IT Infrastructure Engineering,Site Reliability Engineer,Remote United States/ US,
Java,Senior JBoss Developer,Remote Romania/ RO,
Manual Testing,Senior Test Manual Engineer,Remote Romania/ RO,
Manual Testing,Senior Test Manual Engineer,Remote Poland/ PL,
DevOps,Senior DevOps Engineer,Remote Romania/ RO,
Automated Testing Python,Junior QA Automation with Networking,Bucharest/ RO,
Business Analysis,Technical Business Analyst,Bangalore/ IN,
Manual Testing,QA Manual Engineer with basic automation skills,Bucharest/ RO,
Java Full Stack,Senior Java Full Stack developer (with ETL),Remote Romania/ RO,
Technical Support (SL3),SQL/.NET L3 Support Engineer (BAU),Remote Poland/ PL,
Java,Senior Backend Developer - Java,Gurgaon/ IN,
Data Science,Senior Data Engineer,Gurgaon/ IN,
Automated Testing Others,Senior QA/ Manual & Automation,Pune/ IN,
Automated Testing Others,Senior QA/ Manual & Automation,Bangalore/ IN,
DevOps,DevOps Engineer,Bucharest/ RO,
Kondor,Finastra Analyst,Remote Italy/ IT,
DevOps,DevOps Engineer,Bucharest/ RO,
DevOps,Senior DevOps Engineer,Remote Romania/ RO,
Java,Senior Java Developer,Remote Romania/ RO,
Automated Testing Java,Senior QA automation Engineer (Java),Kyiv/ UA,
Manual Testing,Drilling SME/Quality Assurance,Remote Mexico/ MX,
Manual Testing,Drilling SME/Quality Assurance,Anywhere/ WW,
Android,Senior Android Software Developer,Bangalore/ IN,
iOS (Objective-C/Swift),Senior iOS Software Developer,Bangalore/ IN,
Java,Mid Java Developer (IBM BAW Developer),Remote United States/ US,
Front-end Angular,Front-End JavaScript Developer with Angular/TypeScript,Remote Romania/ RO,
Front-end Angular,Senior Front-end JavaScript Developer with Angular/TypeScript,Remote Romania/ RO,
C/C++,Regular C++ Software Developer,Istanbul/ TR,
Manual Testing,Senior QA Manual Engineer,Bucharest/ RO,
Data Modeling,Data Analyst,Melbourne/ AU,
Front-end React,Lead UI Developer,Chennai/ IN,
Front-end React,Lead UI Developer,Bangalore/ IN,
Delivery Project Management,Senior Presales Manager / Bid Manager,Remote Romania/ RO,
Delivery Project Management,Senior Presales Manager / Bid Manager,Remote Poland/ PL,
BigData Development,Full Stack Data Engineering,Remote Canada/ CA,
Other Packaged Software,Datastage Batch Support,Remote Mexico/ MX,
Java,Senior JBoss Developer,Remote Poland/ PL,
Murex,Murex Front Office BA,Remote Poland/ PL,
Manual Testing,Quality Assurance Consultant - LOS/ Infinity LOS/ Core Banking,Cairo/ EG,
Information Security,Senior Information Security Analyst,Sofia/ BG,
Information Security,Senior Information Security Analyst,Remote Poland/ PL,
Manual Testing,Infinity Testing Engineer,Remote India/ IN,
Python,Senior Python Developer,Remote India/ IN,
Manual Testing,Senior Manual Test Engineer with Automotive,Plano/ US,
System Administration,Mainframe Storage Engineer,Remote United States/ US,
Java,Senior Java Developer,Remote India/ IN,
Technical Support (SL3),DevOps Engineer with Java,Singapore/ SG,
SQL (PL/SQL - Oracle),Senior Oracle & PostgreSQL Developer,Bucharest/ RO,
DevOps,Senior DevOps Engineer,Gurgaon/ IN,
Functional/System Analysis,Senior Business Analyst,Kyiv/ UA,
Scrum Master,Scrum Master,Bucharest/ RO,
DevOps,Senior/Lead Azure DevOps Engineer,Remote Ukraine/ UA,
DevOps,Senior/Lead Azure DevOps Engineer,Remote Poland/ PL,
DevOps,Infrastructure Engineer,Remote Ukraine/ UA,
DevOps,Senior DevOps Engineer,Bucharest/ RO,
Temenos,Temenos Senior Technical Consultant - Securities/Corporate Actions/Derivatives,Chennai/ IN,
JavaScript,Full-stack JavaScript developer,Irvine/ US/ US,
Murex,Murex BO Developer,Remote India/ IN,
Java,Junior Java Developer,Bucharest/ RO,
Technical Project Management,BI Project Manager,Remote India/ IN,
Java,Senior Java/Python Developer with AWS,Toronto/ CA,
C#/VB.NET,Senior Full Stack Developer (.Net and Angular),Remote Turkey/ TR,
C#/VB.NET,Senior Full Stack Developer (.Net and Angular),Remote Serbia/ RS,
C#/VB.NET,Senior Full Stack Developer (.Net and Angular),Remote Romania/ RO,
C#/VB.NET,Senior Full Stack Developer (.Net and Angular),Remote Poland/ PL,
C#/VB.NET,Senior Full Stack Developer (.Net and Angular),Remote Bulgaria/ BG,
Java,Senior Java Developer,Bucharest/ RO,
Other Packaged Software,Technical Analyst - Integration Developer,Remote Romania/ RO,
Java,Java Developer,Remote Romania/ RO,
Python,Senior Python Data Engineer,Chennai/ IN,
Database Administration,Senior DBA (MS SQL and Sybase),Remote India/ IN,
Automated Testing Others,Controls Testing Assessor/ ITGC,Mumbai/ IN,
Automated Testing Others,Controls Testing Assessor/ ITGC,Mumbai/ IN,
Application Security,Security Analyst,Remote India/ IN,
Manual Testing,Senior QA Manual Engineer (ETL),Bucharest/ RO,
JavaScript,FullStack JS Tech Lead,Remote India/ IN,
DevOps,DevOps Engineer,Bucharest/ RO,
BigData (Hadoop etc.),Big Data / Scala Developer,Remote Romania/ RO,
Murex,Murex Datamart Developer,Kuala Lumpur/ MY,
Other Consulting,Business Consultant,Dresden/ DE,
Scrum Master,Scrum Master,Bucharest/ RO,
Automated Testing Others,Grafana QA Automation,Remote Brazil/ BR,
Automated Testing Others,Grafana QA Automation,Remote Argentina/ AR,
Manual Testing,Infinity Testing Engineer,Cairo/ EG,
