tag,norm_val
Linux,1.0
Python,0.6094049904030711
Git,0.47024952015355087
Bash,0.44145873320537427
Docker,0.3915547024952015
PostgreSQL,0.3675623800383877
Kubernetes,0.3291746641074856
Ansible,0.23416506717850288
Nginx,0.21401151631477927
CI/CD,0.20825335892514396
Администрирование серверов Linux,0.19961612284069097
SQL,0.1948176583493282
MySQL,0.18809980806142035
DevOps,0.17562380038387715
Jenkins,0.17178502879078694
Английский язык,0.16794625719769674
Zabbix,0.15834932821497122
Английский — B1 — Средний,0.13723608445297505
Английский — B2 — Средне-продвинутый,0.13147792706333974
AWS,0.1295585412667946
Java,0.12284069097888675
CentOS,0.09596928982725528
Prometheus,0.09213051823416507
MongoDB,0.08829174664107485
Grafana,0.08061420345489444
TCP/IP,0.0690978886756238
TeamCity,0.06621880998080615
Redis,0.06525911708253358
RabbitMQ,0.06333973128598848
ELK,0.06333973128598848
Terraform,0.060460652591170824
MS SQL,0.05854126679462572
Atlassian Jira,0.05854126679462572
Unix,0.05854126679462572
PowerShell,0.05854126679462572
Azure,0.05566218809980806
Работа в команде,0.05182341650671785
Kafka,0.0508637236084453
docker,0.0508637236084453
