tag,norm_val
JavaScript,1.0
Node.js,0.44518272425249167
Git,0.4418604651162791
React,0.303156146179402
CSS,0.30066445182724255
HTML5,0.26827242524916944
HTML,0.24086378737541528
PostgreSQL,0.223421926910299
CSS3,0.20348837209302326
SQL,0.17691029900332225
PHP,0.15780730897009967
MySQL,0.13205980066445183
REST,0.12458471760797342
Английский — B1 — Средний,0.11794019933554817
TypeScript,0.11295681063122924
MongoDB,0.11046511627906977
AngularJS,0.1079734219269103
Docker,0.10631229235880399
Английский — B2 — Средне-продвинутый,0.10548172757475083
jQuery,0.10299003322259136
ООП,0.09800664451827243
Английский язык,0.09634551495016612
PHP5,0.0946843853820598
Laravel,0.09136212624584718
Vue.js,0.08803986710963455
Linux,0.08554817275747509
Yii,0.07890365448504984
Symfony,0.07641196013289037
React JS,0.07475083056478406
Yii2,0.07308970099667775
Vue,0.06976744186046512
Atlassian Jira,0.061461794019933555
Redux,0.061461794019933555
Python,0.059800664451827246
Bootstrap,0.050664451827242524
Less,0.049003322259136214
Agile Project Management,0.0473421926910299
Scrum,0.04568106312292359
Angular,0.04568106312292359
