tag,norm_val
JavaScript,1.0
Git,0.4953271028037383
Node.js,0.4661214953271028
CSS,0.32242990654205606
HTML,0.2570093457943925
HTML5,0.22313084112149534
React,0.2091121495327103
MySQL,0.1658878504672897
CSS3,0.16004672897196262
PostgreSQL,0.13901869158878505
TypeScript,0.12733644859813084
MongoDB,0.12149532710280374
SQL,0.12149532710280374
PHP,0.10981308411214953
Английский — B1 — Средний,0.10747663551401869
Английский язык,0.10514018691588785
jQuery,0.10046728971962617
ООП,0.10046728971962617
AngularJS,0.09579439252336448
Vue.js,0.09345794392523364
Linux,0.09228971962616822
Английский — B2 — Средне-продвинутый,0.08995327102803738
Redux,0.06425233644859812
Python,0.0630841121495327
Atlassian Jira,0.04906542056074766
Sass,0.04672897196261682
Docker,0.0455607476635514
Redis,0.0455607476635514
Less,0.0455607476635514
C#,0.0455607476635514
vue.js,0.0455607476635514
Bootstrap,0.04439252336448598
Java,0.04439252336448598
React.js,0.04205607476635514
Vue,0.038551401869158876
Agile Project Management,0.038551401869158876
Scrum,0.037383177570093455
Работа в команде,0.036214953271028034
REST,0.03387850467289719
