,percent
BPMN,377
1С: Бухгалтерия,200
1С программирование,148
1С: Управление Торговлей,210
QA,251
UML,271
PostgreSQL,262
1С: Предприятие 8,142
SMM,221
Python,117
MS Excel,110
docker,169
SQL,90
Git,97
ERP-системы на базе 1С,228
Test case,172
react,152
Adobe Photoshop,89
Java,85
MS Word,124
Adobe Illustrator,141
Битрикс24,150
SEO,119
MS Office,75
HTML,71
ORACLE,165
PHP,71
JavaScript,49
Internet Marketing,83
Обновление конфигурации 1С,97
B2B Продажи,65
Power BI,132
Scrum,120
XML,99
Atlassian Jira,78
Создание конфигурации 1С,119
Linux,41
CSS,41
REST,71
Spring Framework,110
1С: Документооборот,48
golang,159
Знание MS Office,146
1C: Предприятие,65
CSS3,97
ASP.NET,73
1С: Зарплата и управление персоналом,47
Google Docs,43
MySQL,38
SEO оптимизация,61
Google Analytics,66
HTTP,82
MS SQL,20
HR,45
C#,31
MS SQL Server,149
Atlassian Confluence,88
Business Development,185
AutoCAD,18
1С: Предприятие,69
1C: Бухгалтерия,19
CRM,-1
excel,2
Autodesk Revit,92
1С-Битрикс,38
it,71
MS PowerPoint,-21
Internet,8
pandas,106
C++,-1
Digital Marketing,44
ml,35
MS Outlook,-37
Social Media Marketing,27
Project management,-13
SOAP,28
1С: Комплексная автоматизация,40
VBA,47
MS Access,-49
Google AdWords,81
ERP,44
SMS маркетинг,-66
Unity,130
Time management,-63
Analytical skills,-80
Business English,-77
kotlin,34
HTML5,25
Tilda,-55
Email маркетинг,-78
Знание 1С,46
Android,23
C/C++,22
1С: Управление Производственным Предприятием,24
jQuery,26
Data Analysis,-7
MS Visio,-1
machine learning,9
JDBC,-28
SAP,-41
1С: Управление предприятием,56
B2C продажи,-14
E-Mail Marketing,-7
go,65
TCP/IP,7
WEB аналитика,31
SEO-копирайтинг,21
JSON API,20
iOS,-21
MongoDB,47
CorelDRAW,16
data science,0
Sales Skills,16
laravel,7
Adobe After Effect,-7
Negotiation skills,-23
Helpdesk,16
Bash,-19
Node.js,-27
1С: Розница,-46
vue,10
1С: Управление персоналом,-17
Corporate Finance,-21
Компас-3D,-35
