,percent
go,1366
gitlab,770
golang,724
Unit Testing,801
ASP.NET,534
PowerShell,427
API,453
.NET Framework,509
Design Patterns,557
kubernetes,476
SQL,13
Python,71
Git,258
docker,540
JavaScript,57
PostgreSQL,373
azure,436
Java,8
C#,289
aws,222
Bash,395
Linux,70
Администрирование серверов Linux,425
Jenkins,413
JDBC,336
